name,url,city_name,city_state,industry,ranking
Zoetis,http://fortune.com/fortune500/zoetis-538/,Florham Park, NJ,Pharmaceuticals,538
Orbital ATK,http://fortune.com/fortune500/orbital-atk-539/,Dulles, VA,Aerospace and Defense,539
Frontier Communications,http://fortune.com/fortune500/frontier-communications-540/,Stamford, CT,Telecommunications,540
Levi Strauss,http://fortune.com/fortune500/levi-strauss-541/,San Francisco, CA,Apparel,541
SPX,http://fortune.com/fortune500/spx-542/,Charlotte, NC,Industrial Machinery,542
CF Industries Holdings,http://fortune.com/fortune500/cf-industries-holdings-543/,Deerfield, IL,Chemicals,543
Michaels Cos.,http://fortune.com/fortune500/michaels-cos-544/,Irving, TX,Specialty Retailers: Other,544
M&T Bank Corp.,http://fortune.com/fortune500/mt-bank-corp-545/,Buffalo, NY,Commercial Banks,545
Rush Enterprises,http://fortune.com/fortune500/rush-enterprises-546/,New Braunfels, TX,"Automotive Retailing, Services",546
Aleris,http://fortune.com/fortune500/aleris-547/,Cleveland, OH,Metals,547
Nexeo Solutions Holdings,http://fortune.com/fortune500/nexeo-solutions-holdings-548/,The Woodlands, TX,Wholesalers: Diversified,548
Keurig Green Mountain,http://fortune.com/fortune500/keurig-green-mountain-549/,Waterbury, VT,Beverages,549
Superior Energy Services,http://fortune.com/fortune500/superior-energy-services-550/,Houston, TX,"Oil and Gas Equipment, Services",550
Williams-Sonoma,http://fortune.com/fortune500/williams-sonoma-551/,San Francisco, CA,Specialty Retailers: Other,551
Robert Half International,http://fortune.com/fortune500/robert-half-international-552/,Menlo Park, CA,Temporary Help,552
Nvidia,http://fortune.com/fortune500/nvidia-553/,Santa Clara, CA,Semiconductors and Other Electronic Components,553
First American Financial,http://fortune.com/fortune500/first-american-financial-554/,Santa Ana, CA,Insurance: Property and Casualty (Stock),554
Zimmer Holdings,http://fortune.com/fortune500/zimmer-holdings-555/,Warsaw, IN,Medical Products and Equipment,555
MDU Resources Group,http://fortune.com/fortune500/mdu-resources-group-556/,Bismarck, ND,Energy,556
Juniper Networks,http://fortune.com/fortune500/juniper-networks-557/,Sunnyvale, CA,Network and Other Communications Equipment,557
Arthur J. Gallagher,http://fortune.com/fortune500/arthur-j-gallagher-558/,Itasca, IL,Diversified Financials,558
Colfax,http://fortune.com/fortune500/colfax-559/,Annapolis Junction, MD,Industrial Machinery,559
Cliffs Natural Resources,http://fortune.com/fortune500/cliffs-natural-resources-560/,Cleveland, OH,"Mining, Crude-Oil Production",560
Yahoo,http://fortune.com/fortune500/yahoo-561/,Sunnyvale, CA,Internet Services and Retailing,561
MasTec,http://fortune.com/fortune500/mastec-562/,Coral Gables, FL,"Engineering, Construction",562
Lam Research,http://fortune.com/fortune500/lam-research-563/,Fremont, CA,Semiconductors and Other Electronic Components,563
Axiall,http://fortune.com/fortune500/axiall-564/,Atlanta, GA,Chemicals,564
Intercontinental Exchange,http://fortune.com/fortune500/intercontinental-exchange-565/,Atlanta, GA,Securities,565
Cintas,http://fortune.com/fortune500/cintas-566/,Cincinnati, OH,Diversified Outsourcing Services,566
Coty,http://fortune.com/fortune500/coty-567/,New York, NY,Household and Personal Products,567
CA,http://fortune.com/fortune500/ca-568/,Islandia, NY,Computer Software,568
Andersons,http://fortune.com/fortune500/andersons-569/,Maumee, OH,Food Production,569
Valspar,http://fortune.com/fortune500/valspar-570/,Minneapolis, MN,Chemicals,570
Northern Trust,http://fortune.com/fortune500/northern-trust-571/,Chicago, IL,Commercial Banks,571
Intuit,http://fortune.com/fortune500/intuit-572/,Mountain View, CA,Computer Software,572
Tutor Perini,http://fortune.com/fortune500/tutor-perini-573/,Sylmar, CA,"Engineering, Construction",573
Polaris Industries,http://fortune.com/fortune500/polaris-industries-574/,Medina, MN,Transportation Equipment,574
Hospira,http://fortune.com/fortune500/hospira-575/,Lake Forest, IL,Pharmaceuticals,575
FM Global,http://fortune.com/fortune500/fm-global-576/,Johnston, RI,Insurance: Property and Casualty (Stock),576
NVR,http://fortune.com/fortune500/nvr-577/,Reston, VA,Homebuilders,577
Liberty Media,http://fortune.com/fortune500/liberty-media-578/,Englewood, CO,Entertainment,578
Energizer Holdings,http://fortune.com/fortune500/energizer-holdings-579/,St. Louis, MO,Household and Personal Products,579
Bloomin' Brands,http://fortune.com/fortune500/bloomin-brands-580/,Tampa, FL,Food Services,580
Avaya,http://fortune.com/fortune500/avaya-581/,Santa Clara, CA,Network and Other Communications Equipment,581
Westlake Chemical,http://fortune.com/fortune500/westlake-chemical-582/,Houston, TX,Chemicals,582
Hyatt Hotels,http://fortune.com/fortune500/hyatt-hotels-583/,Chicago, IL,"Hotels, Casinos, Resorts",583
Mead Johnson Nutrition,http://fortune.com/fortune500/mead-johnson-nutrition-584/,Glenview, IL,Food Consumer Products,584
Activision Blizzard,http://fortune.com/fortune500/activision-blizzard-585/,Santa Monica, CA,Computer Software,585
Protective Life,http://fortune.com/fortune500/protective-life-586/,Birmingham, AL,"Insurance: Life, Health (stock)",586
Envision Healthcare Holdings,http://fortune.com/fortune500/envision-healthcare-holdings-587/,Greenwood Village, CO,Health Care: Pharmacy and Other Services,587
Fortune Brands Home & Security,http://fortune.com/fortune500/fortune-brands-home-security-588/,Deerfield, IL,"Home Equipment, Furnishings",588
RPM International,http://fortune.com/fortune500/rpm-international-589/,Medina, OH,Chemicals,589
VWR,http://fortune.com/fortune500/vwr-590/,Radnor, PA,Wholesalers: Diversified,590
LPL Financial Holdings,http://fortune.com/fortune500/lpl-financial-holdings-591/,Boston, MA,Securities,591
KeyCorp,http://fortune.com/fortune500/keycorp-592/,Cleveland, OH,Commercial Banks,592
Swift Transportation,http://fortune.com/fortune500/swift-transportation-593/,Phoenix, AZ,"Trucking, Truck Leasing",593
Alpha Natural Resources,http://fortune.com/fortune500/alpha-natural-resources-594/,Bristol, VA,"Mining, Crude-Oil Production",594
Hasbro,http://fortune.com/fortune500/hasbro-595/,Pawtucket, RI,"Toys, Sporting Goods",595
Resolute Forest Products,http://fortune.com/fortune500/resolute-forest-products-596/,Catawba, SC,Forest and Paper Products,596
Tiffany,http://fortune.com/fortune500/tiffany-597/,New York, NY,Specialty Retailers: Other,597
McCormick,http://fortune.com/fortune500/mccormick-598/,Sparks, MD,Food Consumer Products,598
Graphic Packaging Holding,http://fortune.com/fortune500/graphic-packaging-holding-599/,Atlanta, GA,"Packaging, Containers",599
Greif,http://fortune.com/fortune500/greif-600/,Delaware, OH,"Packaging, Containers",600
Allegheny Technologies,http://fortune.com/fortune500/allegheny-technologies-601/,Pittsburgh, PA,Metals,601
Securian Financial Group,http://fortune.com/fortune500/securian-financial-group-602/,St. Paul, MN,"Insurance: Life, Health (stock)",602
B/E Aerospace,http://fortune.com/fortune500/be-aerospace-603/,Wellington, FL,Aerospace and Defense,603
Exelis,http://fortune.com/fortune500/exelis-604/,McLean, VA,Aerospace and Defense,604
Adobe Systems,http://fortune.com/fortune500/adobe-systems-605/,San Jose, CA,Computer Software,605
Molson Coors Brewing,http://fortune.com/fortune500/molson-coors-brewing-606/,Denver, CO,Beverages,606
Roundy's,http://fortune.com/fortune500/roundys-607/,Milwaukee, WI,Food and Drug Stores,607
CNO Financial Group,http://fortune.com/fortune500/cno-financial-group-608/,Carmel, IN,"Insurance: Life, Health (stock)",608
Adams Resources & Energy,http://fortune.com/fortune500/adams-resources-energy-609/,Houston, TX,Energy,609
Belk,http://fortune.com/fortune500/belk-610/,Charlotte, NC,General Merchandisers,610
Chipotle Mexican Grill,http://fortune.com/fortune500/chipotle-mexican-grill-611/,Denver, CO,Food Services,611
American Tower,http://fortune.com/fortune500/american-tower-612/,Boston, MA,Telecommunications,612
FMC,http://fortune.com/fortune500/fmc-613/,Philadelphia, PA,Chemicals,613
Hillshire Brands,http://fortune.com/fortune500/hillshire-brands-614/,Chicago, IL,Food Consumer Products,614
AmTrust Financial Services,http://fortune.com/fortune500/amtrust-financial-services-615/,New York, NY,Insurance: Property and Casualty (Stock),615
Brunswick,http://fortune.com/fortune500/brunswick-616/,Lake Forest, IL,Transportation Equipment,616
Patterson,http://fortune.com/fortune500/patterson-617/,St. Paul, MN,Wholesalers: Health Care,617
Southwestern Energy,http://fortune.com/fortune500/southwestern-energy-618/,Spring, TX,"Mining, Crude-Oil Production",618
Ametek,http://fortune.com/fortune500/ametek-619/,Berwyn, PA,"Scientific,Photographic and Control Equipment",619
T. Rowe Price,http://fortune.com/fortune500/t-rowe-price-620/,Baltimore, MD,Securities,620
Torchmark,http://fortune.com/fortune500/torchmark-621/,McKinney, TX,"Insurance: Life, Health (stock)",621
Darling Ingredients,http://fortune.com/fortune500/darling-ingredients-622/,Irving, TX,Food Production,622
Leggett & Platt,http://fortune.com/fortune500/leggett-platt-623/,Carthage, MO,"Home Equipment, Furnishings",623
Watsco,http://fortune.com/fortune500/watsco-624/,Miami, FL,Wholesalers: Diversified,624
Crestwood Equity Partners,http://fortune.com/fortune500/crestwood-equity-partners-625/,Houston, TX,Energy,625
Xylem,http://fortune.com/fortune500/xylem-626/,Rye Brook, NY,Industrial Machinery,626
Silgan Holdings,http://fortune.com/fortune500/silgan-holdings-627/,Stamford, CT,"Packaging, Containers",627
Toll Brothers,http://fortune.com/fortune500/toll-brothers-628/,Horsham, PA,Homebuilders,628
Manitowoc,http://fortune.com/fortune500/manitowoc-629/,Manitowoc, WI,Construction and Farm Machinery,629
Science Applications International,http://fortune.com/fortune500/science-applications-international-630/,McLean, VA,Information Technology Services,630
Carlyle Group,http://fortune.com/fortune500/carlyle-group-631/,Washington, DC,Securities,631
Timken,http://fortune.com/fortune500/timken-632/,North Canton, OH,Industrial Machinery,632
Genesis Energy,http://fortune.com/fortune500/genesis-energy-633/,Houston, TX,Pipelines,633
WPX Energy,http://fortune.com/fortune500/wpx-energy-634/,Tulsa, OK,"Mining, Crude-Oil Production",634
CareFusion,http://fortune.com/fortune500/carefusion-635/,San Diego, CA,Medical Products and Equipment,635
Pitney Bowes,http://fortune.com/fortune500/pitney-bowes-636/,Stamford, CT,"Computers, Office Equipment",636
Ingles Markets,http://fortune.com/fortune500/ingles-markets-637/,Black Mountain, NC,Food and Drug Stores,637
PolyOne,http://fortune.com/fortune500/polyone-638/,Avon Lake, OH,Chemicals,638
Brookdale Senior Living,http://fortune.com/fortune500/brookdale-senior-living-639/,Brentwood, TN,Health Care: Medical Facilities,639
CommScope Holding,http://fortune.com/fortune500/commscope-holding-640/,Hickory, NC,Network and Other Communications Equipment,640
Meritor,http://fortune.com/fortune500/meritor-641/,Troy, MI,Motor Vehicles and Parts,641
Joy Global,http://fortune.com/fortune500/joy-global-642/,Milwaukee, WI,Construction and Farm Machinery,642
Unified Grocers,http://fortune.com/fortune500/unified-grocers-643/,Commerce, CA,Wholesalers: Food and Grocery,643
Triumph Group,http://fortune.com/fortune500/triumph-group-644/,Berwyn, PA,Aerospace and Defense,644
Magellan Health,http://fortune.com/fortune500/magellan-health-645/,Scottsdale, AZ,Health Care: Insurance and Managed Care,645
Sally Beauty Holdings,http://fortune.com/fortune500/sally-beauty-holdings-646/,Denton, TX,Specialty Retailers: Other,646
Flowers Foods,http://fortune.com/fortune500/flowers-foods-647/,Thomasville, GA,Food Consumer Products,647
Abercrombie & Fitch,http://fortune.com/fortune500/abercrombie-fitch-648/,New Albany, OH,Specialty Retailers: Apparel,648
New Jersey Resources,http://fortune.com/fortune500/new-jersey-resources-649/,Wall, NJ,Energy,649
Fastenal,http://fortune.com/fortune500/fastenal-650/,Winona, MN,Specialty Retailers: Other,650
NII Holdings,http://fortune.com/fortune500/nii-holdings-651/,Reston, VA,Telecommunications,651
Consol Energy,http://fortune.com/fortune500/consol-energy-652/,Canonsburg, PA,"Mining, Crude-Oil Production",652
USG,http://fortune.com/fortune500/usg-653/,Chicago, IL,"Building Materials, Glass",653
Brink's,http://fortune.com/fortune500/brinks-654/,Richmond, VA,Diversified Outsourcing Services,654
Helmerich & Payne,http://fortune.com/fortune500/helmerich-payne-655/,Tulsa, OK,"Oil and Gas Equipment, Services",655
Lexmark International,http://fortune.com/fortune500/lexmark-international-656/,Lexington, KY,Computer Peripherals,656
American Axle & Manufacturing,http://fortune.com/fortune500/american-axle-manufacturing-657/,Detroit, MI,Motor Vehicles and Parts,657
Crown Castle International,http://fortune.com/fortune500/crown-castle-international-658/,Houston, TX,Telecommunications,658
Targa Energy,http://fortune.com/fortune500/targa-energy-659/,Houston, TX,Pipelines,659
Oceaneering International,http://fortune.com/fortune500/oceaneering-international-660/,Houston, TX,"Oil and Gas Equipment, Services",660
Cabot,http://fortune.com/fortune500/cabot-661/,Boston, MA,Chemicals,661
CIT Group,http://fortune.com/fortune500/cit-group-662/,New York, NY,Commercial Banks,662
Cabela's,http://fortune.com/fortune500/cabelas-663/,Sidney, NE,Specialty Retailers: Other,663
Forest Laboratories,http://fortune.com/fortune500/forest-laboratories-664/,New York, NY,Pharmaceuticals,664
DCP Midstream Partners,http://fortune.com/fortune500/dcp-midstream-partners-665/,Denver, CO,Pipelines,665
Ryerson Holding,http://fortune.com/fortune500/ryerson-holding-666/,Chicago, IL,Metals,666
QEP Resources,http://fortune.com/fortune500/qep-resources-667/,Denver, CO,"Mining, Crude-Oil Production",667
Thor Industries,http://fortune.com/fortune500/thor-industries-668/,Elkhart, IN,Motor Vehicles and Parts,668
HSN,http://fortune.com/fortune500/hsn-669/,St. Petersburg, FL,Specialty Retailers: Other,669
Graham Holdings,http://fortune.com/fortune500/graham-holdings-670/,Arlington, VA,Education,670
Electronic Arts,http://fortune.com/fortune500/electronic-arts-671/,Redwood City, CA,Computer Software,671
Boise Cascade,http://fortune.com/fortune500/boise-cascade-672/,Boise, ID,Wholesalers: Diversified,672
Hub Group,http://fortune.com/fortune500/hub-group-673/,Oak Brook, IL,Transportation and Logistics,673
CACI International,http://fortune.com/fortune500/caci-international-674/,Arlington, VA,Information Technology Services,674
Roper Technologies,http://fortune.com/fortune500/roper-technologies-675/,Sarasota, FL,"Scientific,Photographic and Control Equipment",675
Towers Watson,http://fortune.com/fortune500/towers-watson-676/,Arlington, VA,Diversified Outsourcing Services,676
Smart & Final Stores,http://fortune.com/fortune500/smart-final-stores-677/,Commerce, CA,Food and Drug Stores,677
Big Heart Pet Brands,http://fortune.com/fortune500/big-heart-pet-brands-678/,San Francisco, CA,Food Consumer Products,678
Fossil Group,http://fortune.com/fortune500/fossil-group-679/,Richardson, TX,Apparel,679
Nasdaq OMX Group,http://fortune.com/fortune500/nasdaq-omx-group-680/,New York, NY,Securities,680
Country Financial,http://fortune.com/fortune500/country-financial-681/,Bloomington, IL,Insurance: Property and Casualty (Mutual),681
Snap-on,http://fortune.com/fortune500/snap-on-682/,Kenosha, WI,Industrial Machinery,682
Pinnacle West Capital,http://fortune.com/fortune500/pinnacle-west-capital-683/,Phoenix, AZ,Utilities: Gas and Electric,683
EchoStar,http://fortune.com/fortune500/echostar-684/,Englewood, CO,Network and Other Communications Equipment,684
Systemax,http://fortune.com/fortune500/systemax-685/,Port Washington, NY,Specialty Retailers: Other,685
WhiteWave Foods,http://fortune.com/fortune500/whitewave-foods-686/,Denver, CO,Food Consumer Products,686
CUNA Mutual Group,http://fortune.com/fortune500/cuna-mutual-group-687/,Madison, WI,"Insurance: Life, Health (stock)",687
Cooper Tire & Rubber,http://fortune.com/fortune500/cooper-tire-rubber-688/,Findlay, OH,Motor Vehicles and Parts,688
ADT,http://fortune.com/fortune500/adt-689/,Boca Raton, FL,Diversified Outsourcing Services,689
Cerner,http://fortune.com/fortune500/cerner-690/,North Kansas City, MO,Health Care: Pharmacy and Other Services,690
Clean Harbors,http://fortune.com/fortune500/clean-harbors-691/,Norwell, MA,Waste Management,691
First Solar,http://fortune.com/fortune500/first-solar-692/,Tempe, AZ,Energy,692
Lennox International,http://fortune.com/fortune500/lennox-international-693/,Richardson, TX,Industrial Machinery,693
Enable Midstream Partners,http://fortune.com/fortune500/enable-midstream-partners-694/,Oklahoma City, OK,Pipelines,694
Hubbell,http://fortune.com/fortune500/hubbell-695/,Shelton, CT,"Electronics, Electrical Equip.",695
Unisys,http://fortune.com/fortune500/unisys-696/,Blue Bell, PA,Information Technology Services,696
Alliant Energy,http://fortune.com/fortune500/alliant-energy-697/,Madison, WI,Utilities: Gas and Electric,697
Health Care REIT,http://fortune.com/fortune500/health-care-reit-698/,Toledo, OH,Real estate,698
Moody's,http://fortune.com/fortune500/moodys-699/,New York, NY,Diversified Financials,699
C.R. Bard,http://fortune.com/fortune500/c-r-bard-700/,Murray Hill, NJ,Medical Products and Equipment,700
Urban Outfitters,http://fortune.com/fortune500/urban-outfitters-701/,Philadelphia, PA,Specialty Retailers: Apparel,701
Church & Dwight,http://fortune.com/fortune500/church-dwight-702/,Ewing, NJ,Household and Personal Products,702
American Eagle Outfitters,http://fortune.com/fortune500/american-eagle-outfitters-703/,Pittsburgh, PA,Specialty Retailers: Apparel,703
Oaktree Capital Group,http://fortune.com/fortune500/oaktree-capital-group-704/,Los Angeles, CA,Securities,704
Regal Beloit,http://fortune.com/fortune500/regal-beloit-705/,Beloit, WI,"Electronics, Electrical Equip.",705
Men's Wearhouse,http://fortune.com/fortune500/mens-wearhouse-706/,Houston, TX,Specialty Retailers: Apparel,706
Cooper-Standard Holdings,http://fortune.com/fortune500/cooper-standard-holdings-707/,Novi, MI,Motor Vehicles and Parts,707
W.R. Grace,http://fortune.com/fortune500/w-r-grace-708/,Columbia, MD,Chemicals,708
Ulta Salon Cosmetics & Fragrance,http://fortune.com/fortune500/ulta-salon-cosmetics-fragrance-709/,Bolingbrook, IL,Specialty Retailers: Other,709
Hawaiian Electric Industries,http://fortune.com/fortune500/hawaiian-electric-industries-710/,Honolulu, HI,Utilities: Gas and Electric,710
SkyWest,http://fortune.com/fortune500/skywest-711/,St. George, UT,Airlines,711
Green Plains,http://fortune.com/fortune500/green-plains-712/,Omaha, NE,Energy,712
LVB Acquisition,http://fortune.com/fortune500/lvb-acquisition-713/,Warsaw, IN,Medical Products and Equipment,713
NBTY,http://fortune.com/fortune500/nbty-714/,Ronkonkoma, NY,Pharmaceuticals,714
Carlisle,http://fortune.com/fortune500/carlisle-715/,Charlotte, NC,"Building Materials, Glass",715
United Refining,http://fortune.com/fortune500/united-refining-716/,Warren, PA,Petroleum Refining,716
Tesla Motors,http://fortune.com/fortune500/tesla-motors-717/,Palo Alto, CA,Motor Vehicles and Parts,717
Groupon,http://fortune.com/fortune500/groupon-718/,Chicago, IL,Internet Services and Retailing,718
Landstar System,http://fortune.com/fortune500/landstar-system-719/,Jacksonville, FL,"Trucking, Truck Leasing",719
Patterson-UTI Energy,http://fortune.com/fortune500/patterson-uti-energy-720/,Houston, TX,"Oil and Gas Equipment, Services",720
EP Energy,http://fortune.com/fortune500/ep-energy-721/,Houston, TX,"Mining, Crude-Oil Production",721
ON Semiconductor,http://fortune.com/fortune500/on-semiconductor-722/,Phoenix, AZ,Semiconductors and Other Electronic Components,722
Rent-A-Center,http://fortune.com/fortune500/rent-a-center-723/,Plano, TX,Specialty Retailers: Other,723
SunGard Data Systems,http://fortune.com/fortune500/sungard-data-systems-724/,Wayne, PA,Financial Data Services,724
Citrix Systems,http://fortune.com/fortune500/citrix-systems-725/,Fort Lauderdale, FL,Network and Other Communications Equipment,725
Amkor Technology,http://fortune.com/fortune500/amkor-technology-726/,Tempe, AZ,Semiconductors and Other Electronic Components,726
TD Ameritrade Holding,http://fortune.com/fortune500/td-ameritrade-holding-727/,Omaha, NE,Securities,727
Worthington Industries,http://fortune.com/fortune500/worthington-industries-728/,Columbus, OH,Metals,728
Valmont Industries,http://fortune.com/fortune500/valmont-industries-729/,Omaha, NE,Construction and Farm Machinery,729
Iron Mountain,http://fortune.com/fortune500/iron-mountain-730/,Boston, MA,Diversified Outsourcing Services,730
Puget Energy,http://fortune.com/fortune500/puget-energy-731/,Bellevue, WA,Utilities: Gas and Electric,731
CME Group,http://fortune.com/fortune500/cme-group-732/,Chicago, IL,Securities,732
IAC/InterActiveCorp,http://fortune.com/fortune500/iacinteractivecorp-733/,New York, NY,Internet Services and Retailing,733
Par Petroleum,http://fortune.com/fortune500/par-petroleum-734/,Houston, TX,Petroleum Refining,734
Taylor Morrison Home,http://fortune.com/fortune500/taylor-morrison-home-735/,Scottsdale, AZ,Homebuilders,735
Chiquita Brands International,http://fortune.com/fortune500/chiquita-brands-international-736/,Charlotte, NC,Food Production,736
International Flavors & Fragrances,http://fortune.com/fortune500/international-flavors-fragrances-737/,New York, NY,Chemicals,737
Whiting Petroleum,http://fortune.com/fortune500/whiting-petroleum-738/,Denver, CO,"Mining, Crude-Oil Production",738
Under Armour,http://fortune.com/fortune500/under-armour-739/,Baltimore, MD,Apparel,739
Ventas,http://fortune.com/fortune500/ventas-740/,Chicago, IL,Real estate,740
NuStar Energy,http://fortune.com/fortune500/nustar-energy-741/,San Antonio, TX,Pipelines,741
Select Medical Holdings,http://fortune.com/fortune500/select-medical-holdings-742/,Mechanicsburg, PA,Health Care: Medical Facilities,742
Diebold,http://fortune.com/fortune500/diebold-743/,North Canton, OH,"Computers, Office Equipment",743
American National Insurance,http://fortune.com/fortune500/american-national-insurance-744/,Galveston, TX,"Insurance: Life, Health (stock)",744
Varian Medical Systems,http://fortune.com/fortune500/varian-medical-systems-745/,Palo Alto, CA,Medical Products and Equipment,745
Apollo Education Group,http://fortune.com/fortune500/apollo-education-group-746/,Phoenix, AZ,Education,746
Westinghouse Air Brake Technologies,http://fortune.com/fortune500/westinghouse-air-brake-technologies-747/,Wilmerding, PA,Industrial Machinery,747
SunPower,http://fortune.com/fortune500/sunpower-748/,San Jose, CA,Energy,748
Warner Music Group,http://fortune.com/fortune500/warner-music-group-749/,New York, NY,Entertainment,749
American Water Works,http://fortune.com/fortune500/american-water-works-750/,Voorhees, NJ,zMiscellaneous,750
H&R Block,http://fortune.com/fortune500/hr-block-751/,Kansas City, MO,Diversified Financials,751
Mercury General,http://fortune.com/fortune500/mercury-general-752/,Los Angeles, CA,Insurance: Property and Casualty (Stock),752
TECO Energy,http://fortune.com/fortune500/teco-energy-753/,Tampa, FL,Utilities: Gas and Electric,753
Service Corp. International,http://fortune.com/fortune500/service-corp-international-754/,Houston, TX,zMiscellaneous,754
Vulcan Materials,http://fortune.com/fortune500/vulcan-materials-755/,Birmingham, AL,"Building Materials, Glass",755
Brown-Forman,http://fortune.com/fortune500/brown-forman-756/,Louisville, KY,Beverages,756
Regal Entertainment Group,http://fortune.com/fortune500/regal-entertainment-group-757/,Knoxville, TN,Entertainment,757
Tempur Sealy International,http://fortune.com/fortune500/tempur-sealy-international-758/,Lexington, KY,"Home Equipment, Furnishings",758
Steelcase,http://fortune.com/fortune500/steelcase-759/,Grand Rapids, MI,"Home Equipment, Furnishings",759
MWI Veterinary Supply,http://fortune.com/fortune500/mwi-veterinary-supply-760/,Boise, ID,Wholesalers: Diversified,760
RadioShack,http://fortune.com/fortune500/radioshack-761/,Fort Worth, TX,Specialty Retailers: Other,761
Sprouts Farmers Market,http://fortune.com/fortune500/sprouts-farmers-market-762/,Phoenix, AZ,Food and Drug Stores,762
Sabre,http://fortune.com/fortune500/sabre-763/,Southlake, TX,Internet Services and Retailing,763
Martin Marietta Materials,http://fortune.com/fortune500/martin-marietta-materials-764/,Raleigh, NC,"Building Materials, Glass",764
Huntington Bancshares,http://fortune.com/fortune500/huntington-bancshares-765/,Columbus, OH,Commercial Banks,765
Alere,http://fortune.com/fortune500/alere-766/,Waltham, MA,Medical Products and Equipment,766
TreeHouse Foods,http://fortune.com/fortune500/treehouse-foods-767/,Oak Brook, IL,Food Consumer Products,767
Arch Coal,http://fortune.com/fortune500/arch-coal-768/,St. Louis, MO,"Mining, Crude-Oil Production",768
KLA-Tencor,http://fortune.com/fortune500/kla-tencor-769/,Milpitas, CA,Semiconductors and Other Electronic Components,769
Crane,http://fortune.com/fortune500/crane-770/,Stamford, CT,Industrial Machinery,770
Iasis Healthcare,http://fortune.com/fortune500/iasis-healthcare-771/,Franklin, TN,Health Care: Medical Facilities,771
Babcock & Wilcox,http://fortune.com/fortune500/babcock-wilcox-772/,Charlotte, NC,Industrial Machinery,772
Dentsply International,http://fortune.com/fortune500/dentsply-international-773/,York, PA,Medical Products and Equipment,773
Tribune Media,http://fortune.com/fortune500/tribune-media-774/,Chicago, IL,Entertainment,774
ScanSource,http://fortune.com/fortune500/scansource-775/,Greenville, SC,Wholesalers: Electronics and Office Equipment,775
Univision Communications,http://fortune.com/fortune500/univision-communications-776/,New York, NY,Entertainment,776
Brinker International,http://fortune.com/fortune500/brinker-international-777/,Dallas, TX,Food Services,777
Exterran Holdings,http://fortune.com/fortune500/exterran-holdings-778/,Houston, TX,"Oil and Gas Equipment, Services",778
Carter's,http://fortune.com/fortune500/carters-779/,Atlanta, GA,Apparel,779
Analog Devices,http://fortune.com/fortune500/analog-devices-780/,Norwood, MA,Semiconductors and Other Electronic Components,780
Genesco,http://fortune.com/fortune500/genesco-781/,Nashville, TN,Specialty Retailers: Apparel,781
Scotts Miracle-Gro,http://fortune.com/fortune500/scotts-miracle-gro-782/,Marysville, OH,Chemicals,782
Convergys,http://fortune.com/fortune500/convergys-783/,Cincinnati, OH,Diversified Outsourcing Services,783
Exide Technologies,http://fortune.com/fortune500/exide-technologies-784/,Milton, GA,Motor Vehicles and Parts,784
WABCO Holdings,http://fortune.com/fortune500/wabco-holdings-785/,Rochester Hills, MI,Motor Vehicles and Parts,785
Kennametal,http://fortune.com/fortune500/kennametal-786/,Latrobe, PA,Industrial Machinery,786
Amerco,http://fortune.com/fortune500/amerco-787/,Reno, NV,"Trucking, Truck Leasing",787
Bon-Ton Stores,http://fortune.com/fortune500/bon-ton-stores-788/,York, PA,General Merchandisers,788
Team Health Holdings,http://fortune.com/fortune500/team-health-holdings-789/,Knoxville, TN,Health Care: Pharmacy and Other Services,789
Regeneron Pharmaceuticals,http://fortune.com/fortune500/regeneron-pharmaceuticals-790/,Tarrytown, NY,Pharmaceuticals,790
Springleaf Holdings,http://fortune.com/fortune500/springleaf-holdings-791/,Evansville, IN,Diversified Financials,791
Lincoln Electric Holdings,http://fortune.com/fortune500/lincoln-electric-holdings-792/,Cleveland, OH,Industrial Machinery,792
Dresser-Rand Group,http://fortune.com/fortune500/dresser-rand-group-793/,Houston, TX,Industrial Machinery,793
West,http://fortune.com/fortune500/west-794/,Omaha, NE,Diversified Outsourcing Services,794
Benchmark Electronics,http://fortune.com/fortune500/benchmark-electronics-795/,Angleton, TX,Semiconductors and Other Electronic Components,795
Pall,http://fortune.com/fortune500/pall-796/,Port Washington, NY,Industrial Machinery,796
Old Dominion Freight Line,http://fortune.com/fortune500/old-dominion-freight-line-797/,Thomasville, NC,"Trucking, Truck Leasing",797
MSC Industrial Direct,http://fortune.com/fortune500/msc-industrial-direct-798/,Melville, NY,Wholesalers: Diversified,798
Sentry Insurance Group,http://fortune.com/fortune500/sentry-insurance-group-799/,Stevens Point, WI,Insurance: Property and Casualty (Mutual),799
Sigma-Aldrich,http://fortune.com/fortune500/sigma-aldrich-800/,St. Louis, MO,Chemicals,800
WGL Holdings,http://fortune.com/fortune500/wgl-holdings-801/,Washington, DC,Energy,801
Weis Markets,http://fortune.com/fortune500/weis-markets-802/,Sunbury, PA,Food and Drug Stores,802
Sanderson Farms,http://fortune.com/fortune500/sanderson-farms-803/,Laurel, MS,Food Production,803
StanCorp Financial Group,http://fortune.com/fortune500/stancorp-financial-group-804/,Portland, OR,"Insurance: Life, Health (stock)",804
Hyster-Yale Materials Handling,http://fortune.com/fortune500/hyster-yale-materials-handling-805/,Cleveland, OH,Industrial Machinery,805
Wolverine World Wide,http://fortune.com/fortune500/wolverine-world-wide-806/,Rockford, MI,Apparel,806
