name,url,city_name,city_state,industry,ranking
Yum Brands,http://fortune.com/fortune500/yum-brands-228/,Louisville, KY,Food Services,228
Computer Sciences,http://fortune.com/fortune500/computer-sciences-229/,Falls Church, VA,Information Technology Services,229
Parker-Hannifin,http://fortune.com/fortune500/parker-hannifin-230/,Cleveland, OH,Industrial Machinery,230
DaVita HealthCare Partners,http://fortune.com/fortune500/davita-healthcare-partners-231/,Denver, CO,Health Care: Medical Facilities,231
CarMax,http://fortune.com/fortune500/carmax-232/,Richmond, VA,"Automotive Retailing, Services",232
Texas Instruments,http://fortune.com/fortune500/texas-instruments-233/,Dallas, TX,Semiconductors and Other Electronic Components,233
WellCare Health Plans,http://fortune.com/fortune500/wellcare-health-plans-234/,Tampa, FL,Health Care: Insurance and Managed Care,234
Marsh & McLennan,http://fortune.com/fortune500/marsh-mclennan-235/,New York, NY,Diversified Financials,235
Consolidated Edison,http://fortune.com/fortune500/consolidated-edison-236/,New York, NY,Utilities: Gas and Electric,236
Oneok,http://fortune.com/fortune500/oneok-237/,Tulsa, OK,Pipelines,237
Visa,http://fortune.com/fortune500/visa-238/,Foster City, CA,Financial Data Services,238
Jacobs Engineering Group,http://fortune.com/fortune500/jacobs-engineering-group-239/,Pasadena, CA,"Engineering, Construction",239
CSX,http://fortune.com/fortune500/csx-240/,Jacksonville, FL,Railroads,240
Entergy,http://fortune.com/fortune500/entergy-241/,New Orleans, LA,Utilities: Gas and Electric,241
Facebook,http://fortune.com/fortune500/facebook-242/,Menlo Park, CA,Internet Services and Retailing,242
Dominion Resources,http://fortune.com/fortune500/dominion-resources-243/,Richmond, VA,Utilities: Gas and Electric,243
Leucadia National,http://fortune.com/fortune500/leucadia-national-244/,New York, NY,Food Production,244
"Toys ""R"" Us",http://fortune.com/fortune500/toys-r-us-245/,Wayne, NJ,Specialty Retailers: Other,245
DTE Energy,http://fortune.com/fortune500/dte-energy-246/,Detroit, MI,Utilities: Gas and Electric,246
Ameriprise Financial,http://fortune.com/fortune500/ameriprise-financial-247/,Minneapolis, MN,Diversified Financials,247
VF,http://fortune.com/fortune500/vf-248/,Greensboro, NC,Apparel,248
Praxair,http://fortune.com/fortune500/praxair-249/,Danbury, CT,Chemicals,249
J.C. Penney,http://fortune.com/fortune500/j-c-penney-250/,Plano, TX,General Merchandisers,250
Automatic Data Processing,http://fortune.com/fortune500/automatic-data-processing-251/,Roseland, NJ,Diversified Outsourcing Services,251
L-3 Communications,http://fortune.com/fortune500/l-3-communications-252/,New York, NY,Aerospace and Defense,252
CDW,http://fortune.com/fortune500/cdw-253/,Vernon Hills, IL,Information Technology Services,253
Guardian Life Ins. Co. of America,http://fortune.com/fortune500/guardian-life-ins-co-of-america-254/,New York, NY,"Insurance: Life, Health (Mutual)",254
Xcel Energy,http://fortune.com/fortune500/xcel-energy-255/,Minneapolis, MN,Utilities: Gas and Electric,255
Norfolk Southern,http://fortune.com/fortune500/norfolk-southern-256/,Norfolk, VA,Railroads,256
PPL,http://fortune.com/fortune500/ppl-257/,Allentown, PA,Utilities: Gas and Electric,257
R.R. Donnelley & Sons,http://fortune.com/fortune500/r-r-donnelley-sons-258/,Chicago, IL,"Publishing, Printing",258
Huntsman,http://fortune.com/fortune500/huntsman-259/,Salt Lake City, UT,Chemicals,259
Bed Bath & Beyond,http://fortune.com/fortune500/bed-bath-beyond-260/,Union, NJ,Specialty Retailers: Other,260
Stanley Black & Decker,http://fortune.com/fortune500/stanley-black-decker-261/,New Britain, CT,"Home Equipment, Furnishings",261
L Brands,http://fortune.com/fortune500/l-brands-262/,Columbus, OH,Specialty Retailers: Apparel,262
Liberty Interactive,http://fortune.com/fortune500/liberty-interactive-263/,Englewood, CO,Internet Services and Retailing,263
Farmers Insurance Exchange,http://fortune.com/fortune500/farmers-insurance-exchange-264/,Woodland Hills, CA,Insurance: Property and Casualty (Mutual),264
First Data,http://fortune.com/fortune500/first-data-265/,Atlanta, GA,Financial Data Services,265
Sherwin-Williams,http://fortune.com/fortune500/sherwin-williams-266/,Cleveland, OH,Chemicals,266
BlackRock,http://fortune.com/fortune500/blackrock-267/,New York, NY,Securities,267
Voya Financial,http://fortune.com/fortune500/voya-financial-268/,New York, NY,"Insurance: Life, Health (stock)",268
Ross Stores,http://fortune.com/fortune500/ross-stores-269/,Dublin, CA,Specialty Retailers: Apparel,269
Sempra Energy,http://fortune.com/fortune500/sempra-energy-270/,San Diego, CA,Utilities: Gas and Electric,270
Estee Lauder,http://fortune.com/fortune500/estee-lauder-271/,New York, NY,Household and Personal Products,271
H.J. Heinz,http://fortune.com/fortune500/h-j-heinz-272/,Pittsburgh, PA,Food Consumer Products,272
